,Year,County,ICD Version,Total Admits (Consolidated),30-day Readmits (Consolidated),30-day Readmission Rate (Consolidated),PCPI
0,2011,Alameda,ICD-9,75103.0,11377.0,15.1,50432.0
1,2011,Alpine,ICD-9,13.0,1.0,7.7,54040.0
2,2011,Amador,ICD-9,2657.0,345.0,13.0,34847.0
3,2011,Butte,ICD-9,20422.0,3198.0,15.7,33669.0
4,2011,Calaveras,ICD-9,3253.0,392.0,12.1,37516.0
5,2011,Colusa,ICD-9,1113.0,132.0,11.9,40313.0
6,2011,Contra Costa,ICD-9,55458.0,7580.0,13.7,57227.0
7,2011,Del Norte,ICD-9,1455.0,206.0,14.2,28194.0
8,2011,El Dorado,ICD-9,9890.0,1305.0,13.2,50362.0
9,2011,Fresno,ICD-9,49558.0,6865.0,13.9,32669.0
10,2011,Glenn,ICD-9,1745.0,209.0,12.0,34053.0
11,2011,Humboldt,ICD-9,7053.0,686.0,9.7,35892.0
12,2011,Imperial,ICD-9,9140.0,1194.0,13.1,31225.0
13,2011,Inyo,ICD-9,794.0,57.0,7.2,43618.0
14,2011,Kern,ICD-9,46535.0,6514.0,14.0,32141.0
15,2011,Kings,ICD-9,7388.0,1011.0,13.7,29308.0
16,2011,Lake,ICD-9,5843.0,893.0,15.3,31444.0
17,2011,Lassen,ICD-9,1151.0,108.0,9.4,28218.0
18,2011,Los Angeles,ICD-9,534319.0,83066.0,15.5,45439.0
19,2011,Madera,ICD-9,7137.0,888.0,12.4,29341.0
20,2011,Marin,ICD-9,12210.0,1414.0,11.6,89206.0
21,2011,Mariposa,ICD-9,1160.0,144.0,12.4,36741.0
22,2011,Mendocino,ICD-9,5360.0,653.0,12.2,37658.0
23,2011,Merced,ICD-9,12482.0,1754.0,14.1,29817.0
24,2011,Modoc,ICD-9,405.0,38.0,9.4,36359.0
25,2011,Mono,ICD-9,245.0,17.0,6.9,41168.0
26,2011,Monterey,ICD-9,18178.0,1973.0,10.9,41452.0
27,2011,Napa,ICD-9,8444.0,1251.0,14.8,48198.0
28,2011,Nevada,ICD-9,6098.0,782.0,12.8,47210.0
29,2011,Orange,ICD-9,137953.0,18428.0,13.4,51265.0
30,2011,Placer,ICD-9,18464.0,2258.0,12.2,49609.0
31,2011,Plumas,ICD-9,1098.0,151.0,13.8,39560.0
32,2011,Riverside,ICD-9,110802.0,14936.0,13.5,32420.0
33,2011,Sacramento,ICD-9,76052.0,10610.0,14.0,39655.0
34,2011,San Benito,ICD-9,2806.0,375.0,13.4,36937.0
35,2011,San Bernardino,ICD-9,105064.0,14941.0,14.2,30773.0
36,2011,San Diego,ICD-9,157874.0,21258.0,13.5,46113.0
37,2011,San Joaquin,ICD-9,35737.0,4914.0,13.8,32947.0
38,2011,San Luis Obispo,ICD-9,14239.0,1603.0,11.3,42219.0
39,2011,San Mateo,ICD-9,29726.0,3701.0,12.5,78684.0
40,2011,Santa Barbara,ICD-9,18297.0,1963.0,10.7,47840.0
41,2011,Santa Clara,ICD-9,68595.0,9076.0,13.2,65684.0
42,2011,Santa Cruz,ICD-9,11076.0,1222.0,11.0,49290.0
43,2011,Shasta,ICD-9,15075.0,1739.0,11.5,34982.0
44,2011,Sierra,ICD-9,182.0,26.0,14.3,33655.0
45,2011,Siskiyou,ICD-9,2376.0,201.0,8.5,33248.0
46,2011,Solano,ICD-9,20548.0,2850.0,13.9,38635.0
47,2011,Sonoma,ICD-9,23404.0,2757.0,11.8,44462.0
48,2011,Stanislaus,ICD-9,30837.0,4278.0,13.9,32860.0
49,2011,Sutter,ICD-9,5851.0,720.0,12.3,35304.0
50,2011,Tehama,ICD-9,3509.0,421.0,12.0,29964.0
51,2011,Trinity,ICD-9,1038.0,154.0,14.8,27311.0
52,2011,Tulare,ICD-9,23641.0,3258.0,13.8,31644.0
53,2011,Tuolumne,ICD-9,4131.0,521.0,12.6,35841.0
54,2011,Ventura,ICD-9,42145.0,5195.0,12.3,47868.0
55,2011,Yolo,ICD-9,7620.0,904.0,11.9,42841.0
56,2011,Yuba,ICD-9,4902.0,724.0,14.8,32320.0
57,2012,Alameda,ICD-9,72083.0,10448.0,14.5,52296.0
58,2012,Alpine,ICD-9,10.0,0.0,0.0,56293.0
59,2012,Amador,ICD-9,2775.0,411.0,14.8,35633.0
60,2012,Butte,ICD-9,20895.0,3279.0,15.7,34536.0
61,2012,Calaveras,ICD-9,3218.0,432.0,13.4,37399.0
62,2012,Colusa,ICD-9,1125.0,179.0,15.9,36669.0
63,2012,Contra Costa,ICD-9,55974.0,7733.0,13.8,61059.0
64,2012,Del Norte,ICD-9,1411.0,168.0,11.9,28596.0
65,2012,El Dorado,ICD-9,9993.0,1350.0,13.5,52415.0
66,2012,Fresno,ICD-9,48216.0,6769.0,14.0,33288.0
67,2012,Glenn,ICD-9,1772.0,245.0,13.8,34953.0
68,2012,Humboldt,ICD-9,7180.0,743.0,10.3,36182.0
69,2012,Imperial,ICD-9,8957.0,1339.0,14.9,31428.0
70,2012,Inyo,ICD-9,787.0,61.0,7.8,45319.0
71,2012,Kern,ICD-9,43650.0,5926.0,13.6,33731.0
72,2012,Kings,ICD-9,6903.0,911.0,13.2,28626.0
73,2012,Lake,ICD-9,5559.0,800.0,14.4,32005.0
74,2012,Lassen,ICD-9,1081.0,138.0,12.8,28086.0
75,2012,Los Angeles,ICD-9,517164.0,79235.0,15.3,48075.0
76,2012,Madera,ICD-9,6823.0,806.0,11.8,30904.0
77,2012,Marin,ICD-9,11917.0,1354.0,11.4,94993.0
78,2012,Mariposa,ICD-9,1097.0,111.0,10.1,37665.0
79,2012,Mendocino,ICD-9,5333.0,648.0,12.2,37262.0
80,2012,Merced,ICD-9,11481.0,1635.0,14.2,30248.0
81,2012,Modoc,ICD-9,413.0,46.0,11.1,36311.0
82,2012,Mono,ICD-9,248.0,23.0,9.3,40329.0
83,2012,Monterey,ICD-9,17916.0,1916.0,10.7,42873.0
84,2012,Napa,ICD-9,8202.0,1153.0,14.1,52821.0
85,2012,Nevada,ICD-9,5879.0,717.0,12.2,48696.0
86,2012,Orange,ICD-9,137256.0,18165.0,13.2,54321.0
87,2012,Placer,ICD-9,18788.0,2238.0,11.9,52292.0
88,2012,Plumas,ICD-9,870.0,100.0,11.5,39094.0
89,2012,Riverside,ICD-9,110558.0,14965.0,13.5,32828.0
90,2012,Sacramento,ICD-9,74683.0,10124.0,13.6,40623.0
91,2012,San Benito,ICD-9,2595.0,314.0,12.1,37878.0
92,2012,San Bernardino,ICD-9,104267.0,14826.0,14.2,31261.0
93,2012,San Diego,ICD-9,154878.0,20519.0,13.2,47700.0
94,2012,San Joaquin,ICD-9,34783.0,4833.0,13.9,33631.0
95,2012,San Luis Obispo,ICD-9,13129.0,1416.0,10.8,43666.0
96,2012,San Mateo,ICD-9,29701.0,3652.0,12.3,86408.0
97,2012,Santa Barbara,ICD-9,18375.0,1956.0,10.6,49987.0
98,2012,Santa Clara,ICD-9,67166.0,8898.0,13.2,71690.0
99,2012,Santa Cruz,ICD-9,11000.0,1236.0,11.2,51725.0
100,2012,Shasta,ICD-9,13926.0,1615.0,11.6,35512.0
101,2012,Sierra,ICD-9,127.0,18.0,14.2,35047.0
102,2012,Siskiyou,ICD-9,2351.0,189.0,8.0,33571.0
103,2012,Solano,ICD-9,20450.0,2812.0,13.8,38975.0
104,2012,Sonoma,ICD-9,22853.0,2637.0,11.5,46251.0
105,2012,Stanislaus,ICD-9,30191.0,4083.0,13.5,33794.0
106,2012,Sutter,ICD-9,6078.0,766.0,12.6,34985.0
107,2012,Tehama,ICD-9,3494.0,458.0,13.1,31293.0
108,2012,Trinity,ICD-9,945.0,124.0,13.1,26857.0
109,2012,Tulare,ICD-9,22013.0,2974.0,13.5,31434.0
110,2012,Tuolumne,ICD-9,4012.0,503.0,12.5,36606.0
111,2012,Ventura,ICD-9,40670.0,4831.0,11.9,49592.0
112,2012,Yolo,ICD-9,7462.0,945.0,12.7,43527.0
113,2012,Yuba,ICD-9,4898.0,685.0,14.0,32564.0
114,2013,Alameda,ICD-9,67673.0,9761.0,14.4,54131.0
115,2013,Alpine,ICD-9,9.0,0.0,0.0,54549.0
116,2013,Amador,ICD-9,2616.0,357.0,13.6,36375.0
117,2013,Butte,ICD-9,21019.0,3383.0,16.1,35368.0
118,2013,Calaveras,ICD-9,3160.0,418.0,13.2,37734.0
119,2013,Colusa,ICD-9,1054.0,128.0,12.1,39501.0
120,2013,Contra Costa,ICD-9,54166.0,7369.0,13.6,60387.0
121,2013,Del Norte,ICD-9,1424.0,193.0,13.6,29550.0
122,2013,El Dorado,ICD-9,9982.0,1288.0,12.9,53830.0
123,2013,Fresno,ICD-9,48385.0,6770.0,14.0,34426.0
124,2013,Glenn,ICD-9,1695.0,238.0,14.0,37911.0
125,2013,Humboldt,ICD-9,7185.0,754.0,10.5,36739.0
126,2013,Imperial,ICD-9,8325.0,1189.0,14.3,32627.0
127,2013,Inyo,ICD-9,722.0,34.0,4.7,45780.0
128,2013,Kern,ICD-9,41048.0,5473.0,13.3,34301.0
129,2013,Kings,ICD-9,6558.0,922.0,14.1,29642.0
130,2013,Lake,ICD-9,5456.0,802.0,14.7,32632.0
131,2013,Lassen,ICD-9,988.0,91.0,9.2,28498.0
132,2013,Los Angeles,ICD-9,495144.0,73527.0,14.8,47541.0
133,2013,Madera,ICD-9,6855.0,874.0,12.7,32072.0
134,2013,Marin,ICD-9,11477.0,1220.0,10.6,95473.0
135,2013,Mariposa,ICD-9,1016.0,106.0,10.4,38320.0
136,2013,Mendocino,ICD-9,5355.0,612.0,11.4,37882.0
137,2013,Merced,ICD-9,11581.0,1614.0,13.9,31492.0
138,2013,Modoc,ICD-9,365.0,41.0,11.2,37643.0
139,2013,Mono,ICD-9,249.0,15.0,6.0,41157.0
140,2013,Monterey,ICD-9,17588.0,2002.0,11.4,44355.0
141,2013,Napa,ICD-9,7829.0,1068.0,13.6,54298.0
142,2013,Nevada,ICD-9,5831.0,774.0,13.3,49191.0
143,2013,Orange,ICD-9,133419.0,17189.0,12.9,53545.0
144,2013,Placer,ICD-9,18470.0,2139.0,11.6,52942.0
145,2013,Plumas,ICD-9,828.0,92.0,11.1,40346.0
146,2013,Riverside,ICD-9,110940.0,14914.0,13.4,33565.0
147,2013,Sacramento,ICD-9,77051.0,10602.0,13.8,41581.0
148,2013,San Benito,ICD-9,2616.0,335.0,12.8,39293.0
149,2013,San Bernardino,ICD-9,104088.0,14890.0,14.3,31889.0
150,2013,San Diego,ICD-9,152109.0,19775.0,13.0,48645.0
151,2013,San Joaquin,ICD-9,34379.0,4705.0,13.7,34791.0
152,2013,San Luis Obispo,ICD-9,12778.0,1335.0,10.4,44771.0
153,2013,San Mateo,ICD-9,29190.0,3583.0,12.3,85557.0
154,2013,Santa Barbara,ICD-9,18594.0,1995.0,10.7,49091.0
155,2013,Santa Clara,ICD-9,67810.0,8985.0,13.3,71593.0
156,2013,Santa Cruz,ICD-9,10453.0,1058.0,10.1,52252.0
157,2013,Shasta,ICD-9,13737.0,1449.0,10.5,35799.0
158,2013,Sierra,ICD-9,94.0,9.0,9.6,35366.0
159,2013,Siskiyou,ICD-9,2459.0,249.0,10.1,34302.0
160,2013,Solano,ICD-9,20395.0,2736.0,13.4,40025.0
161,2013,Sonoma,ICD-9,22136.0,2515.0,11.4,47527.0
162,2013,Stanislaus,ICD-9,29926.0,4109.0,13.7,34382.0
163,2013,Sutter,ICD-9,6109.0,802.0,13.1,36468.0
164,2013,Tehama,ICD-9,3460.0,445.0,12.9,31594.0
165,2013,Trinity,ICD-9,931.0,125.0,13.4,26688.0
166,2013,Tulare,ICD-9,20826.0,2686.0,12.9,32017.0
167,2013,Tuolumne,ICD-9,4050.0,530.0,13.1,36116.0
168,2013,Ventura,ICD-9,38847.0,4814.0,12.4,49787.0
169,2013,Yolo,ICD-9,7225.0,904.0,12.5,44581.0
170,2013,Yuba,ICD-9,4804.0,683.0,14.2,33459.0
171,2014,Alameda,ICD-9,65219.0,9398.0,14.4,57009.0
172,2014,Alpine,ICD-9,11.0,0.0,0.0,61368.0
173,2014,Amador,ICD-9,2599.0,319.0,12.3,37936.0
174,2014,Butte,ICD-9,21081.0,3558.0,16.9,36603.0
175,2014,Calaveras,ICD-9,2901.0,387.0,13.3,39733.0
176,2014,Colusa,ICD-9,1039.0,144.0,13.9,34844.0
177,2014,Contra Costa,ICD-9,52940.0,7257.0,13.7,62381.0
178,2014,Del Norte,ICD-9,1352.0,162.0,12.0,31479.0
179,2014,El Dorado,ICD-9,9331.0,1102.0,11.8,56210.0
180,2014,Fresno,ICD-9,46943.0,6283.0,13.4,36385.0
181,2014,Glenn,ICD-9,1898.0,272.0,14.3,36446.0
182,2014,Humboldt,ICD-9,7543.0,821.0,10.9,38324.0
183,2014,Imperial,ICD-9,7519.0,1046.0,13.9,33758.0
184,2014,Inyo,ICD-9,834.0,64.0,7.7,48579.0
185,2014,Kern,ICD-9,40730.0,5474.0,13.4,36164.0
186,2014,Kings,ICD-9,6126.0,761.0,12.4,32810.0
187,2014,Lake,ICD-9,5053.0,771.0,15.3,34201.0
188,2014,Lassen,ICD-9,1028.0,129.0,12.5,29488.0
189,2014,Los Angeles,ICD-9,489218.0,72658.0,14.9,50052.0
190,2014,Madera,ICD-9,6780.0,835.0,12.3,33801.0
191,2014,Marin,ICD-9,10679.0,1167.0,10.9,102032.0
192,2014,Mariposa,ICD-9,1089.0,147.0,13.5,40809.0
193,2014,Mendocino,ICD-9,5164.0,590.0,11.4,40074.0
194,2014,Merced,ICD-9,11433.0,1530.0,13.4,34240.0
195,2014,Modoc,ICD-9,322.0,25.0,7.8,40683.0
196,2014,Mono,ICD-9,270.0,33.0,12.2,42683.0
197,2014,Monterey,ICD-9,16384.0,1666.0,10.2,46374.0
198,2014,Napa,ICD-9,7288.0,932.0,12.8,58241.0
199,2014,Nevada,ICD-9,5736.0,711.0,12.4,51373.0
200,2014,Orange,ICD-9,130679.0,16685.0,12.8,55461.0
201,2014,Placer,ICD-9,17446.0,1973.0,11.3,55204.0
202,2014,Plumas,ICD-9,854.0,120.0,14.1,42932.0
203,2014,Riverside,ICD-9,111062.0,14744.0,13.3,34786.0
204,2014,Sacramento,ICD-9,78028.0,10662.0,13.7,43469.0
205,2014,San Benito,ICD-9,2594.0,325.0,12.5,40388.0
206,2014,San Bernardino,ICD-9,101796.0,14251.0,14.0,33381.0
207,2014,San Diego,ICD-9,150420.0,19696.0,13.1,50915.0
208,2014,San Joaquin,ICD-9,36070.0,4990.0,13.8,36290.0
209,2014,San Luis Obispo,ICD-9,12268.0,1316.0,10.7,47054.0
210,2014,San Mateo,ICD-9,27209.0,3434.0,12.6,90760.0
211,2014,Santa Barbara,ICD-9,18621.0,1965.0,10.6,51447.0
212,2014,Santa Clara,ICD-9,65778.0,8641.0,13.1,77059.0
213,2014,Santa Cruz,ICD-9,10498.0,1078.0,10.3,54072.0
214,2014,Shasta,ICD-9,13566.0,1462.0,10.8,37909.0
215,2014,Sierra,ICD-9,127.0,10.0,7.9,37111.0
216,2014,Siskiyou,ICD-9,2143.0,203.0,9.5,36561.0
217,2014,Solano,ICD-9,19610.0,2685.0,13.7,41195.0
218,2014,Sonoma,ICD-9,21862.0,2540.0,11.6,49836.0
219,2014,Stanislaus,ICD-9,30096.0,4036.0,13.4,36753.0
220,2014,Sutter,ICD-9,5555.0,724.0,13.0,36688.0
221,2014,Tehama,ICD-9,3368.0,420.0,12.5,33917.0
222,2014,Trinity,ICD-9,889.0,122.0,13.7,28420.0
223,2014,Tulare,ICD-9,20841.0,2622.0,12.6,34983.0
224,2014,Tuolumne,ICD-9,3973.0,505.0,12.7,38181.0
225,2014,Ventura,ICD-9,38377.0,4630.0,12.1,51943.0
226,2014,Yolo,ICD-9,7365.0,829.0,11.3,46763.0
227,2014,Yuba,ICD-9,4585.0,707.0,15.4,34303.0
228,2015,Alameda,ICD-9,49269.0,6917.0,14.04,61618.0
229,2015,Alpine,ICD-9,9.0,0.0,0.0,63924.0
230,2015,Amador,ICD-9,2124.0,282.0,13.28,39764.0
231,2015,Butte,ICD-9,16661.0,2907.0,17.45,39352.0
232,2015,Calaveras,ICD-9,2174.0,269.0,12.37,42659.0
233,2015,Colusa,ICD-9,757.0,83.0,10.96,39272.0
234,2015,Contra Costa,ICD-9,41392.0,5752.0,13.9,67056.0
235,2015,Del Norte,ICD-9,889.0,94.0,10.57,33072.0
236,2015,El Dorado,ICD-9,7038.0,809.0,11.49,58818.0
237,2015,Fresno,ICD-9,36503.0,5072.0,13.89,38296.0
238,2015,Glenn,ICD-9,1401.0,162.0,11.56,38924.0
239,2015,Humboldt,ICD-9,5666.0,568.0,10.02,40594.0
240,2015,Imperial,ICD-9,5769.0,779.0,13.5,36121.0
241,2015,Inyo,ICD-9,637.0,60.0,9.42,50961.0
242,2015,Kern,ICD-9,30391.0,3770.0,12.4,36532.0
243,2015,Kings,ICD-9,4683.0,606.0,12.94,32733.0
244,2015,Lake,ICD-9,3891.0,520.0,13.36,35796.0
245,2015,Lassen,ICD-9,751.0,78.0,10.39,31092.0
246,2015,Los Angeles,ICD-9,374849.0,55914.0,14.92,53067.0
247,2015,Madera,ICD-9,5174.0,656.0,12.68,34323.0
248,2015,Marin,ICD-9,8072.0,878.0,10.88,109274.0
249,2015,Mariposa,ICD-9,854.0,113.0,13.23,43701.0
250,2015,Mendocino,ICD-9,3816.0,460.0,12.05,41701.0
251,2015,Merced,ICD-9,9474.0,1274.0,13.45,35167.0
252,2015,Modoc,ICD-9,265.0,24.0,9.06,42461.0
253,2015,Mono,ICD-9,193.0,11.0,5.7,44056.0
254,2015,Monterey,ICD-9,12919.0,1353.0,10.47,49757.0
255,2015,Napa,ICD-9,5362.0,697.0,13.0,62781.0
256,2015,Nevada,ICD-9,4384.0,570.0,13.0,53134.0
257,2015,Orange,ICD-9,100168.0,12602.0,12.58,59242.0
258,2015,Placer,ICD-9,12961.0,1452.0,11.2,58519.0
259,2015,Plumas,ICD-9,694.0,67.0,9.65,44091.0
260,2015,Riverside,ICD-9,86333.0,11733.0,13.59,36590.0
261,2015,Sacramento,ICD-9,59197.0,8068.0,13.63,45866.0
262,2015,San Benito,ICD-9,1935.0,231.0,11.94,44028.0
263,2015,San Bernardino,ICD-9,75949.0,10305.0,13.57,35179.0
264,2015,San Diego,ICD-9,115410.0,15086.0,13.07,53357.0
265,2015,San Joaquin,ICD-9,26778.0,3453.0,12.89,38463.0
266,2015,San Luis Obispo,ICD-9,9677.0,1020.0,10.54,49914.0
267,2015,San Mateo,ICD-9,21159.0,2730.0,12.9,99076.0
268,2015,Santa Barbara,ICD-9,14130.0,1574.0,11.14,54318.0
269,2015,Santa Clara,ICD-9,51175.0,6733.0,13.16,83773.0
270,2015,Santa Cruz,ICD-9,8197.0,885.0,10.8,56902.0
271,2015,Shasta,ICD-9,10130.0,1031.0,10.18,40252.0
272,2015,Sierra,ICD-9,85.0,5.0,5.88,36501.0
273,2015,Siskiyou,ICD-9,1724.0,168.0,9.74,39585.0
274,2015,Solano,ICD-9,14646.0,1964.0,13.41,43597.0
275,2015,Sonoma,ICD-9,17382.0,2014.0,11.59,53594.0
276,2015,Stanislaus,ICD-9,23119.0,3075.0,13.3,39006.0
277,2015,Sutter,ICD-9,4325.0,544.0,12.58,39130.0
278,2015,Tehama,ICD-9,2602.0,325.0,12.49,35500.0
279,2015,Trinity,ICD-9,709.0,100.0,14.1,29552.0
280,2015,Tulare,ICD-9,16424.0,2243.0,13.66,35556.0
281,2015,Tuolumne,ICD-9,3144.0,410.0,13.04,40912.0
282,2015,Ventura,ICD-9,30175.0,3862.0,12.8,54241.0
283,2015,Yolo,ICD-9,5852.0,726.0,12.41,49027.0
284,2015,Yuba,ICD-9,3521.0,527.0,14.97,36587.0
285,2016,Alameda,ICD-10,65203.0,9759.0,14.97,65215.0
286,2016,Alpine,ICD-10,21.0,1.0,4.76,70376.0
287,2016,Amador,ICD-10,2814.0,390.0,13.86,40310.0
288,2016,Butte,ICD-10,22675.0,4041.0,17.82,40662.0
289,2016,Calaveras,ICD-10,2868.0,400.0,13.95,44010.0
290,2016,Colusa,ICD-10,971.0,121.0,12.46,41196.0
291,2016,Contra Costa,ICD-10,52750.0,7662.0,14.53,70261.0
292,2016,Del Norte,ICD-10,1238.0,125.0,10.1,34105.0
293,2016,El Dorado,ICD-10,10298.0,1418.0,13.77,62076.0
294,2016,Fresno,ICD-10,50589.0,8296.0,16.4,39072.0
295,2016,Glenn,ICD-10,1935.0,281.0,14.52,40126.0
296,2016,Humboldt,ICD-10,7804.0,937.0,12.01,41584.0
297,2016,Imperial,ICD-10,7981.0,1198.0,15.01,35252.0
298,2016,Inyo,ICD-10,757.0,77.0,10.17,54731.0
299,2016,Kern,ICD-10,41749.0,5561.0,13.32,36168.0
300,2016,Kings,ICD-10,6718.0,1030.0,15.33,34161.0
301,2016,Lake,ICD-10,5375.0,845.0,15.72,36651.0
302,2016,Lassen,ICD-10,856.0,96.0,11.21,32336.0
303,2016,Los Angeles,ICD-10,493868.0,77874.0,15.77,54750.0
304,2016,Madera,ICD-10,6997.0,1059.0,15.14,35931.0
305,2016,Marin,ICD-10,11232.0,1321.0,11.76,113226.0
306,2016,Mariposa,ICD-10,1117.0,154.0,13.79,46915.0
307,2016,Mendocino,ICD-10,5158.0,666.0,12.91,42497.0
308,2016,Merced,ICD-10,13467.0,2087.0,15.5,35626.0
309,2016,Modoc,ICD-10,314.0,29.0,9.24,43145.0
310,2016,Mono,ICD-10,308.0,31.0,10.06,45291.0
311,2016,Monterey,ICD-10,17789.0,2066.0,11.61,50839.0
312,2016,Napa,ICD-10,7363.0,1002.0,13.61,66405.0
313,2016,Nevada,ICD-10,5671.0,807.0,14.23,55382.0
314,2016,Orange,ICD-10,133527.0,17983.0,13.47,61188.0
315,2016,Placer,ICD-10,18698.0,2180.0,11.66,60591.0
316,2016,Plumas,ICD-10,907.0,107.0,11.8,44612.0
317,2016,Riverside,ICD-10,113451.0,16431.0,14.48,38050.0
318,2016,Sacramento,ICD-10,77797.0,11095.0,14.26,46904.0
319,2016,San Benito,ICD-10,2505.0,306.0,12.22,46235.0
320,2016,San Bernardino,ICD-10,104398.0,15630.0,14.97,36422.0
321,2016,San Diego,ICD-10,151703.0,20891.0,13.77,55074.0
322,2016,San Joaquin,ICD-10,36298.0,5369.0,14.79,39777.0
323,2016,San Luis Obispo,ICD-10,12941.0,1502.0,11.61,51118.0
324,2016,San Mateo,ICD-10,27003.0,3461.0,12.82,103798.0
325,2016,Santa Barbara,ICD-10,19086.0,2236.0,11.72,54873.0
326,2016,Santa Clara,ICD-10,68322.0,9691.0,14.18,90105.0
327,2016,Santa Cruz,ICD-10,10584.0,1171.0,11.06,58504.0
328,2016,Shasta,ICD-10,14114.0,1675.0,11.87,41305.0
329,2016,Sierra,ICD-10,132.0,15.0,11.36,37831.0
330,2016,Siskiyou,ICD-10,2269.0,233.0,10.27,40621.0
331,2016,Solano,ICD-10,21124.0,3069.0,14.53,45447.0
332,2016,Sonoma,ICD-10,23675.0,2898.0,12.24,55513.0
333,2016,Stanislaus,ICD-10,30756.0,4167.0,13.55,39780.0
334,2016,Sutter,ICD-10,5796.0,816.0,14.08,39983.0
335,2016,Tehama,ICD-10,3645.0,482.0,13.22,36008.0
336,2016,Trinity,ICD-10,888.0,110.0,12.39,29722.0
337,2016,Tulare,ICD-10,21561.0,3136.0,14.54,37125.0
338,2016,Tuolumne,ICD-10,3887.0,582.0,14.97,42373.0
339,2016,Ventura,ICD-10,40230.0,5489.0,13.64,55756.0
340,2016,Yolo,ICD-10,8078.0,1083.0,13.41,49918.0
341,2016,Yuba,ICD-10,4758.0,731.0,15.36,37593.0
342,2017,Alameda,ICD-10,64950.0,9676.0,14.9,69258.0
343,2017,Alpine,ICD-10,9.0,0.0,0.0,68653.0
344,2017,Amador,ICD-10,2970.0,405.0,13.64,41237.0
345,2017,Butte,ICD-10,23283.0,4406.0,18.92,41581.0
